epoch;c1_acc;c1_loss;c2_acc;c2_loss;c3_acc;c3_loss;c4_acc;c4_loss;loss;val_c1_acc;val_c1_loss;val_c2_acc;val_c2_loss;val_c3_acc;val_c3_loss;val_c4_acc;val_c4_loss;val_loss
0;0.37969970703125;2.333944427751703;0.43255615234375;2.1126746272784658;0.448699951171875;2.048049126533442;0.48028564453125;1.9348469835676951;8.429515161085874;0.6884765625;1.0824160142801702;0.614013671875;1.3467203262262046;0.6123046875;1.3982148952782154;0.71240234375;0.9800732438452542;4.807424463331699
1;0.89544677734375;0.3616376929312537;0.836334228515625;0.5509891777765006;0.84344482421875;0.5594787373775034;0.901702880859375;0.3574761207382835;1.8295817310572602;0.775146484375;0.6904768259264529;0.75390625;0.8175355360144749;0.74658203125;0.8600405142642558;0.8154296875;0.5986198806203902;2.9666727436706424
2;0.943756103515625;0.1906641383538954;0.901458740234375;0.3190130093898915;0.8961181640625;0.348833673986519;0.93731689453125;0.21995515619892103;1.07846597552998;0.149658203125;4.243534239009023;0.180908203125;4.220465108752251;0.134033203125;4.715542184188962;0.274169921875;3.0337807834148407;16.21332236379385
3;0.95306396484375;0.15121370393535472;0.924896240234375;0.24546115557677695;0.918853759765625;0.2741318223743292;0.94970703125;0.174033854208119;0.8448405369999819;0.281494140625;4.319651175290346;0.332275390625;3.8265985418111086;0.317138671875;3.9162292927503586;0.4541015625;2.4099295865744352;14.472408659756184
4;0.960906982421875;0.1285626522981147;0.93975830078125;0.19855458213714883;0.932403564453125;0.2204218816004868;0.956634521484375;0.15046444625295408;0.6980035627930192;0.8037109375;0.75111113069579;0.76708984375;0.810702417511493;0.784912109375;0.7587290373630822;0.7734375;0.7809838650282472;3.1015264550223947
5;0.96417236328125;0.11829804893034179;0.94586181640625;0.17239884810578587;0.943389892578125;0.18539683399148998;0.961151123046875;0.136021297368643;0.6121150289909565;0.86181640625;0.4327742837194819;0.8369140625;0.5130825635278597;0.81640625;0.6069460526341572;0.842529296875;0.5259510850301012;2.0787539770826697
6;0.966949462890625;0.10271044291994258;0.953826904296875;0.14747443731084786;0.9517822265625;0.1591433481007698;0.9666748046875;0.11466795108185579;0.5239961794577539;0.77490234375;0.734928717254661;0.770751953125;0.7501873197034001;0.728515625;0.8980047875083983;0.7353515625;0.8811500538140535;3.264270881190896
7;0.96990966796875;0.10074291103092037;0.9547119140625;0.14487354559605592;0.954803466796875;0.15189064484661685;0.96844482421875;0.11442090687728523;0.5119280090439133;0.662353515625;1.1585270133800805;0.641357421875;1.2752979453653097;0.630615234375;1.258478369563818;0.68408203125;1.0806849119253457;4.772988237440586
8;0.970672607421875;0.09351354931419564;0.960540771484375;0.12673156460436985;0.957550048828125;0.1396437393727865;0.969940185546875;0.10208615496151197;0.4619750086494605;0.596923828125;1.4762199725955725;0.565185546875;1.580496366135776;0.555419921875;1.571768844500184;0.516357421875;1.718150416854769;6.346635594964027
9;0.97314453125;0.08872907457816837;0.962646484375;0.12109594814910452;0.96087646484375;0.12776241572669278;0.974822998046875;0.09148459094330974;0.42907202951937506;0.75927734375;0.8223312629852444;0.780029296875;0.7453765561804175;0.75;0.7869207144249231;0.803955078125;0.6939213066361845;3.0485498467460275
