epoch;c1_acc;c1_loss;c2_acc;c2_loss;c3_acc;c3_loss;c4_acc;c4_loss;loss;val_c1_acc;val_c1_loss;val_c2_acc;val_c2_loss;val_c3_acc;val_c3_loss;val_c4_acc;val_c4_loss;val_loss
0;0.02763671875;4.336644469574094;0.02783203125;4.353010646253824;0.0265625;4.352550662308931;0.02763671875;4.339682524651289;17.38188825547695;0.035064697265625;4.607553785666823;0.00396728515625;4.978235158603638;0.038177490234375;4.876143287867308;0.0062255859375;4.788873467128724;19.250805659219623
1;0.0443359375;4.172221768647432;0.04765625;4.162052237987519;0.041015625;4.17276523038745;0.044140625;4.164277779310941;16.671317026019096;6.103515625e-05;4.645860684569925;0.002685546875;4.746486535295844;0.025390625;4.770710114855319;0.004730224609375;4.70327022485435;18.866327540948987
2;0.0689453125;3.9877763278782368;0.06083984375;4.013690119981765;0.06396484375;3.972111254185438;0.063671875;3.9741994023323057;15.94777708053589;0.0028076171875;4.601224743295461;0.0625;4.458373514004052;0.000518798828125;4.765837274491787;0.0010986328125;4.820042358711362;18.645477877929807
3;0.07451171875;3.7680557958781717;0.06416015625;3.7576442256569864;0.06845703125;3.70471031665802;0.07041015625;3.755152162909508;14.98556246459484;0.000274658203125;4.489307380281389;0.02484130859375;4.518105586525053;0.0838623046875;4.497549855150282;0.0296630859375;4.592512478120625;18.09747527912259
4;0.0837890625;3.5101576186716557;0.0640625;3.5255060985684397;0.07568359375;3.467478148639202;0.07412109375;3.558611021190882;14.061752915382385;0.02423095703125;4.896377113182098;0.001220703125;5.224509611725807;0.0;5.450132975820452;0.005126953125;5.529836550820619;21.100856276229024
5;0.07626953125;3.4403372153639795;0.0759765625;3.40285220220685;0.1111328125;3.279965164512396;0.079296875;3.371519701182842;13.49467430114746;0.003021240234375;5.795819157268852;0.000701904296875;5.041602582670748;0.0;5.975892519578338;0.00628662109375;5.729166965000331;22.54248122125864
6;0.1283203125;3.1697842881083487;0.0708984375;3.4194852143526075;0.0826171875;3.331200011074543;0.08662109375;3.242022517323494;13.162492001056671;0.0010986328125;5.842880686279386;0.0118408203125;4.953689848072827;0.00030517578125;5.939795646816492;0.021331787109375;5.8111501024104655;22.5475162435323
7;0.08564453125;3.1586719647049906;0.06669921875;3.2227114029228687;0.0865234375;3.307236921787262;0.0830078125;3.207952442020178;12.896572750806808;0.0;8.039687854237854;0.030120849609375;6.113387026358396;0.0;7.600837416946888;0.02886962890625;7.824383861850947;29.578296152874827
8;0.09306640625;3.228343563526869;0.06015625;3.2604068227112295;0.09130859375;3.3567098535597326;0.0693359375;3.2332588210701942;13.078718999028206;0.0;6.373432833235711;0.0107421875;5.08504453767091;0.0009765625;6.159288267139345;0.002960205078125;6.456345191691071;24.07411079481244
9;0.09208984375;3.2236839696764945;0.0634765625;3.2431715495884417;0.06416015625;3.3525844059884546;0.058203125;3.12201974093914;12.941459649801255;0.0;6.9640851826407015;0.0069580078125;5.375823779031634;0.02679443359375;6.440810775384307;0.0098876953125;7.243068162817508;26.023787919431925
