,loss,c1_loss,c2_loss,c3_loss,c4_loss,c1_acc,c2_acc,c3_acc,c4_acc,accuracy
0,13.077415466308594,3.256946563720703,3.4679393768310547,3.581249713897705,2.771280288696289,0.15625,0.15625,0.09375,0.1875,0.9765625
1,14.070014953613281,3.3971285820007324,4.018072128295898,3.575876235961914,3.07893705368042,0.09375,0.0625,0.0625,0.15625,0.9765625
2,13.785703659057617,4.17498254776001,3.3484551906585693,3.1152710914611816,3.1469950675964355,0.03125,0.1875,0.1875,0.15625,0.9765625
3,12.846639633178711,2.8436684608459473,3.0984973907470703,3.273761510848999,3.6307129859924316,0.15625,0.0625,0.125,0.125,0.9765625
4,12.580322265625,3.1342384815216064,3.2275688648223877,3.0441362857818604,3.1743781566619873,0.21875,0.09375,0.125,0.0625,0.9765625
5,11.313493728637695,2.6542060375213623,2.7143430709838867,2.823387384414673,3.1215572357177734,0.0625,0.125,0.09375,0.125,0.9765625
6,11.007265090942383,2.7669408321380615,2.639711380004883,2.8530938625335693,2.747519016265869,0.15625,0.125,0.0625,0.1875,0.9765625
7,11.428950309753418,3.369894504547119,2.3536534309387207,2.854238510131836,2.8511641025543213,0.0625,0.125,0.09375,0.15625,0.9765625
8,10.147396087646484,2.5190248489379883,2.5468873977661133,2.795167922973633,2.28631591796875,0.0625,0.15625,0.09375,0.21875,0.9765625
9,11.145055770874023,2.992408275604248,2.563457489013672,2.448306083679199,3.1408848762512207,0.09375,0.09375,0.03125,0.09375,0.9765625
10,10.692438125610352,2.8308629989624023,2.6624670028686523,2.624049186706543,2.575058937072754,0.09375,0.15625,0.15625,0.0625,0.9765625
11,10.361239433288574,2.4765052795410156,2.6545262336730957,2.397780418395996,2.832427501678467,0.15625,0.0625,0.125,0.03125,0.9765625
12,11.265304565429688,2.7958474159240723,3.0026183128356934,2.7791407108306885,2.6876983642578125,0.03125,0.03125,0.15625,0.0625,0.9765625
13,9.478729248046875,2.2295784950256348,2.4043164253234863,2.416166305541992,2.4286680221557617,0.21875,0.21875,0.21875,0.15625,0.9765625
14,11.081924438476562,2.5452098846435547,2.7928237915039062,2.5964293479919434,3.1474609375,0.1875,0.09375,0.0625,0.125,0.9765625
15,10.515633583068848,2.5156264305114746,2.7243852615356445,2.659932851791382,2.615689516067505,0.125,0.09375,0.0625,0.15625,0.9765625
16,10.199913024902344,2.448140859603882,2.4388885498046875,2.5208234786987305,2.792060375213623,0.0625,0.125,0.15625,0.09375,0.9765625
17,9.982931137084961,2.755455255508423,2.4184393882751465,2.486152172088623,2.3228838443756104,0.0625,0.125,0.25,0.125,0.9765625
18,9.869705200195312,2.6476330757141113,2.441413402557373,2.437347888946533,2.343310832977295,0.15625,0.125,0.125,0.15625,0.9765625
19,10.420269012451172,2.601510524749756,2.481337308883667,2.5427327156066895,2.794689178466797,0.0,0.15625,0.15625,0.125,0.9765625
20,10.26561164855957,2.532155990600586,2.696241855621338,2.5432791709899902,2.493934154510498,0.15625,0.09375,0.15625,0.09375,0.9765625
21,10.161294937133789,2.700093984603882,2.3891570568084717,2.6024394035339355,2.469604015350342,0.0625,0.0625,0.09375,0.1875,0.9765625
22,10.439358711242676,2.5402488708496094,2.409100294113159,2.731895923614502,2.758113384246826,0.09375,0.125,0.125,0.125,0.9765625
